setting,n,model,metric,index,truth,estimate_mean,estimate_sd,bias,abs_bias,rmse,mae,mcse_mean,n_rep,n_obs,n_missing,source_files
heteroskedastic,500,model_free_flow,category_effect,1,0.14665,0.1451632509781505,0.035331933329861176,-0.0014867490218494982,0.0014867490218494982,0.03518625413924403,0.02938144458926087,0.0035331933329861174,100,100,0,20
heteroskedastic,500,empirical,category_effect,1,0.14665,0.1499098161319946,0.03250754350691009,0.0032598161319945945,0.0032598161319945945,0.03250845093540336,0.026648458441300413,0.003250754350691009,100,100,0,20
heteroskedastic,500,structured_flow,category_effect,1,0.14665,0.1530127616286341,0.08751401308303008,0.006362761628634089,0.006362761628634089,0.0873075036670996,0.07470563600282515,0.008751401308303009,100,100,0,20
heteroskedastic,500,ordered_probit,category_effect,1,0.14665,-0.03815322556734823,0.02382612363719802,-0.18480322556734827,0.18480322556734827,0.18631757701836799,0.18480322556734827,0.002382612363719802,100,100,0,20
heteroskedastic,500,ordered_logit,category_effect,1,0.14665,-0.04521251904714599,0.02371954428514473,-0.191862519047146,0.191862519047146,0.19330860515869552,0.191862519047146,0.002371954428514473,100,100,0,20
heteroskedastic,500,empirical,cumulative_ge_effect,2,-0.14665,-0.14990981613199458,0.032507543506910055,-0.0032598161319945924,0.0032598161319945924,0.03250845093540334,0.02664845844130038,0.0032507543506910055,100,100,0,20
heteroskedastic,500,empirical,cumulative_ge_effect,3,-0.139,-0.14069298704669397,0.033630408204243914,-0.0016929870466939833,0.0016929870466939833,0.033504634269970905,0.02736959926221667,0.0033630408204243915,100,100,0,20
heteroskedastic,500,empirical,cumulative_ge_effect,4,-0.06203,-0.06603064336522176,0.04003772893626555,-0.004000643365221765,0.004000643365221765,0.04003741610451192,0.032175342964111724,0.004003772893626556,100,100,0,20
heteroskedastic,500,empirical,cumulative_ge_effect,5,0.2572,0.2633809712139477,0.04205191044467402,0.0061809712139477314,0.0061809712139477314,0.04229520002877473,0.034647937356867824,0.004205191044467402,100,100,0,20
heteroskedastic,500,empirical,wasserstein_unit,1,0.6048799999999999,0.621979450885133,0.08108440403117433,0.017099450885133028,0.017099450885133028,0.08247014606445709,0.0677690944758884,0.008108440403117433,100,100,0,20
