model,metric,index,estimate,se
empirical,wasserstein_unit,1,1.0729081090717312,0.03847040379117576
empirical,category_effect,1,-0.13807780014410181,0.010649670708250795
empirical,category_effect,2,-0.13520705356280688,0.01028715021760874
empirical,category_effect,3,-0.0852527353354082,0.012744354180856034
empirical,category_effect,4,0.15222875054780988,0.011078110312671342
empirical,category_effect,5,0.10960981081061005,0.009464954157970641
empirical,category_effect,6,0.096699027683897,0.008375234760096722
empirical,cum_ge_effect,2,0.13807780014410176,0.010649670708250802
empirical,cum_ge_effect,3,0.2732848537069087,0.012978074842247282
empirical,cum_ge_effect,4,0.35853758904231686,0.012257246199716538
empirical,cum_ge_effect,5,0.206308838494507,0.009568710924005845
empirical,cum_ge_effect,6,0.096699027683897,0.008375234760096722
oprobit,wasserstein_unit,1,0.9736272384401505,0.04837188809756911
oprobit,category_effect,1,-0.17140462484494842,0.0069609579994795254
oprobit,category_effect,2,-0.09452433743737972,0.0055380779028529345
oprobit,category_effect,3,0.014607621184513121,0.001015671005924763
oprobit,category_effect,4,0.07116894016925196,0.003342683773171185
oprobit,category_effect,5,0.07533249164206621,0.003921482189154656
oprobit,category_effect,6,0.10481990928649741,0.006002734663574125
oprobit,cum_ge_effect,2,0.17140462484494837,0.006960957999479532
oprobit,cum_ge_effect,3,0.2659289622823293,0.012455558484090464
oprobit,cum_ge_effect,4,0.2513213410978157,0.013169660043997182
oprobit,cum_ge_effect,5,0.18015240092856338,0.00988165906612012
oprobit,cum_ge_effect,6,0.10481990928649741,0.006002734663574125
ologit,wasserstein_unit,1,0.9862986754699771,0.04702735618882688
ologit,category_effect,1,-0.16592042071983834,0.006255297155287297
ologit,category_effect,2,-0.1134565572561026,0.0061059280780647205
ologit,category_effect,3,0.01280303862686183,0.0016700950179600847
ologit,category_effect,4,0.08612481928813806,0.003951573092624754
ologit,category_effect,5,0.08647090269675782,0.0044365419920967845
ologit,category_effect,6,0.09397821736418302,0.0053436668932248495
ologit,cum_ge_effect,2,0.16592042071983834,0.006255297155287296
ologit,cum_ge_effect,3,0.27937697797594135,0.012312731110018002
ologit,cum_ge_effect,4,0.266573939349079,0.013558993408726487
ologit,cum_ge_effect,5,0.18044912006094105,0.009736811338929084
ologit,cum_ge_effect,6,0.09397821736418302,0.0053436668932248495
structured flow,wasserstein_unit,1,0.9173352166239811,0.11636960668980104
structured flow,category_effect,1,-0.1127321079223012,0.023622251157863674
structured flow,category_effect,2,-0.12012307884907517,0.01177735773700462
structured flow,category_effect,3,-0.054865897288213616,0.016469918281417938
structured flow,category_effect,4,0.09761636509967091,0.014228037490345919
structured flow,category_effect,5,0.09618260004911158,0.01367407771452193
structured flow,category_effect,6,0.09392211891080679,0.031013489779718312
structured flow,cum_ge_effect,2,0.11273210792230125,0.023622251157863667
structured flow,cum_ge_effect,3,0.23285518677137618,0.026437225515475515
structured flow,cum_ge_effect,4,0.28772108405958957,0.02284875436237631
structured flow,cum_ge_effect,5,0.1901047189599182,0.024088375186821713
structured flow,cum_ge_effect,6,0.09392211891080679,0.031013489779718312
model_free flow,wasserstein_unit,1,1.0105241888580536,0.2462350347833889
model_free flow,category_effect,1,-0.09205837932531563,0.049964399959815727
model_free flow,category_effect,2,-0.1370539457460104,0.027685858207331028
model_free flow,category_effect,3,-0.07770724414242061,0.014725517698785408
model_free flow,category_effect,4,0.06289511408964975,0.02451112603739199
model_free flow,category_effect,5,0.1053149950005279,0.021947225972917227
model_free flow,category_effect,6,0.13860946012356862,0.02928705044680492
model_free flow,cum_ge_effect,2,0.09205837932531563,0.04996439995981572
model_free flow,cum_ge_effect,3,0.22911232507132653,0.07359390222549866
model_free flow,cum_ge_effect,4,0.3068195692137462,0.06983787036364227
model_free flow,cum_ge_effect,5,0.24392445512409708,0.04920614958881999
model_free flow,cum_ge_effect,6,0.13860946012356862,0.02928705044680492
